Circuit delay: 964.73 ps

Gate slacks:
INP-n107: 119.95 ps
INP-n110: 206.47 ps
INP-n113: 157.57 ps
INP-n116: 112.99 ps
INP-n119: 131.47 ps
INP-n122: 209.74 ps
INP-n125: 228.23 ps
INP-n128: 141.06 ps
INP-n131: 172.80 ps
INP-n134: 128.21 ps
INP-n137: 146.69 ps
INP-n140: 210.90 ps
INP-n143: 96.47 ps
INP-n146: 118.24 ps
NOT-n149: 142.77 ps
NOT-n153: 101.48 ps
NOT-n156: 119.95 ps
NOT-n160: 206.47 ps
NOT-n165: 157.57 ps
NOT-n168: 112.99 ps
NOT-n171: 131.47 ps
NOT-n175: 209.74 ps
NOT-n179: 228.23 ps
NOT-n184: 141.06 ps
NOT-n188: 172.80 ps
NOT-n191: 128.21 ps
NOT-n194: 146.69 ps
NOT-n198: 210.90 ps
NOT-n202: 96.47 ps
NOT-n206: 118.24 ps
INP-n210: 302.79 ps
INP-n214: 241.21 ps
INP-n217: 375.69 ps
INP-n221: 328.00 ps
INP-n224: 282.49 ps
INP-n227: 304.05 ps
NAND-n231: 964.57 ps
NAND-n233: 964.57 ps
INP-n234: 306.54 ps
INP-n237: 229.78 ps
NOT-n241: 229.78 ps
NOT-n244: 414.04 ps
BUFF-n245: 306.54 ps
BUFF-n248: 413.97 ps
BUFF-n251: 142.77 ps
BUFF-n254: 101.48 ps
NAND-n257: 112.67 ps
NAND-n258: 101.48 ps
NAND-n259: 101.48 ps
NAND-n260: 144.49 ps
NAND-n261: 133.30 ps
NAND-n262: 133.30 ps
NOT-n265: 101.48 ps
NAND-n268: 206.47 ps
NOT-n269: 206.47 ps
NAND-n272: 124.18 ps
NAND-n273: 112.99 ps
NAND-n274: 112.99 ps
NAND-n277: 664.19 ps
NAND-n278: 652.99 ps
NAND-n279: 652.99 ps
NAND-n280: 112.67 ps
NAND-n281: 101.48 ps
NAND-n282: 101.48 ps
NOT-n285: 652.99 ps
NAND-n286: 141.41 ps
NAND-n287: 152.64 ps
BUFF-n288: 157.57 ps
BUFF-n291: 112.99 ps
NAND-n294: 187.51 ps
NAND-n295: 176.31 ps
NAND-n296: 176.31 ps
NAND-n297: 206.47 ps
NAND-n298: 209.74 ps
BUFF-n299: 141.06 ps
BUFF-n302: 96.47 ps
NAND-n305: 107.67 ps
NAND-n306: 96.47 ps
NAND-n307: 96.47 ps
NAND-n308: 126.13 ps
NAND-n309: 114.95 ps
NAND-n310: 114.95 ps
NOT-n314: 96.47 ps
AND-n318: 258.68 ps
BUFF-n321: 228.23 ps
NAND-n324: 128.00 ps
NAND-n325: 116.80 ps
NAND-n326: 116.80 ps
BUFF-n327: 172.80 ps
BUFF-n330: 128.21 ps
NAND-n333: 139.41 ps
NAND-n334: 128.21 ps
NAND-n335: 128.21 ps
NOT-n336: 128.21 ps
BUFF-n340: 141.09 ps
BUFF-n343: 96.47 ps
NAND-n346: 107.67 ps
NAND-n347: 96.47 ps
NAND-n348: 96.47 ps
NAND-n349: 141.41 ps
NAND-n350: 152.64 ps
AND-n352: 280.24 ps
BUFF-n355: 253.35 ps
NAND-n358: 783.88 ps
NAND-n359: 772.68 ps
NAND-n360: 772.68 ps
NAND-n361: 780.10 ps
NAND-n362: 783.37 ps
NAND-n363: 780.10 ps
NAND-n364: 660.90 ps
NAND-n365: 649.70 ps
NAND-n366: 649.70 ps
NOT-n367: 649.70 ps
AND-n369: 278.98 ps
NAND-n372: 278.98 ps
NAND-n373: 290.16 ps
NAND-n374: 278.98 ps
NAND-n375: 107.70 ps
NAND-n376: 96.47 ps
NAND-n377: 224.81 ps
NAND-n378: 213.62 ps
NAND-n379: 213.62 ps
BUFF-n382: 255.49 ps
BUFF-n385: 210.90 ps
NAND-n388: 222.10 ps
NAND-n389: 210.90 ps
NAND-n390: 210.90 ps
NAND-n391: 246.84 ps
NAND-n392: 235.66 ps
NAND-n393: 235.66 ps
NAND-n396: 243.88 ps
NAND-n397: 232.68 ps
NAND-n398: 232.68 ps
NAND-n399: 222.09 ps
NAND-n400: 210.90 ps
NAND-n401: 210.90 ps
NAND-n404: 315.42 ps
NAND-n405: 304.22 ps
NAND-n406: 304.22 ps
NOT-n407: 176.31 ps
BUFF-n410: 114.95 ps
NAND-n413: 126.14 ps
NAND-n414: 114.95 ps
NAND-n415: 114.95 ps
NAND-n416: 101.48 ps
NAND-n417: 112.65 ps
NAND-n418: 101.48 ps
NOT-n419: 101.48 ps
NAND-n420: 96.47 ps
NAND-n421: 107.65 ps
NAND-n422: 96.47 ps
NAND-n423: 114.95 ps
NAND-n424: 126.12 ps
NAND-n425: 114.95 ps
NAND-n426: 141.41 ps
NAND-n427: 152.64 ps
NAND-n428: 141.41 ps
NAND-n429: 152.64 ps
NAND-n430: 141.41 ps
NAND-n431: 152.64 ps
NAND-n433: 101.48 ps
NAND-n437: 96.47 ps
NAND-n441: 114.95 ps
NAND-n445: 213.62 ps
NAND-n449: 235.66 ps
NAND-n453: 210.90 ps
AND-n457: 881.98 ps
AND-n459: 871.85 ps
NAND-n462: 96.47 ps
INP-n469: 449.02 ps
INP-n472: 458.96 ps
INP-n475: 457.63 ps
INP-n478: 457.63 ps
NAND-n482: 448.36 ps
NAND-n487: 449.22 ps
NAND-n492: 408.23 ps
NAND-n495: 450.75 ps
NAND-n496: 439.58 ps
NAND-n497: 439.58 ps
NAND-n498: 112.64 ps
NAND-n499: 101.48 ps
NAND-n500: 101.48 ps
NOT-n503: 439.58 ps
NAND-n505: 413.97 ps
NAND-n508: 544.31 ps
NAND-n509: 533.13 ps
NAND-n510: 533.13 ps
NAND-n511: 222.07 ps
NAND-n512: 210.90 ps
NAND-n513: 210.90 ps
NOT-n516: 533.13 ps
NOT-n517: 449.02 ps
NAND-n520: 447.31 ps
NAND-n521: 436.13 ps
NAND-n522: 436.13 ps
NAND-n523: 107.64 ps
NAND-n524: 96.47 ps
NAND-n525: 96.47 ps
NOT-n528: 436.13 ps
NOT-n529: 458.96 ps
NAND-n532: 455.84 ps
NAND-n533: 444.67 ps
NAND-n534: 444.67 ps
NAND-n535: 126.11 ps
NAND-n536: 114.95 ps
NAND-n537: 114.95 ps
NOT-n540: 444.67 ps
NOT-n541: 457.63 ps
NAND-n544: 555.84 ps
NAND-n545: 544.67 ps
NAND-n546: 544.67 ps
NAND-n547: 224.79 ps
NAND-n548: 213.62 ps
NAND-n549: 213.62 ps
NOT-n552: 544.67 ps
NOT-n553: 457.63 ps
NAND-n556: 577.88 ps
NAND-n557: 566.70 ps
NAND-n558: 566.70 ps
NAND-n559: 246.82 ps
NAND-n560: 235.66 ps
NAND-n561: 235.66 ps
NOT-n564: 566.70 ps
NOT-n565: 651.46 ps
BUFF-n566: 448.36 ps
NOT-n569: 114.47 ps
AND-n572: 279.90 ps
AND-n573: 114.47 ps
AND-n588: 101.48 ps
NOT-n614: 643.47 ps
BUFF-n615: 449.22 ps
NOT-n618: 96.47 ps
AND-n621: 278.60 ps
AND-n622: 96.47 ps
AND-n639: 110.05 ps
NOT-n663: 210.90 ps
BUFF-n666: 230.10 ps
NOT-n669: 122.44 ps
BUFF-n672: 114.95 ps
AND-n675: 122.44 ps
AND-n688: 154.39 ps
AND-n696: 114.95 ps
AND-n710: 141.64 ps
NOT-n719: 235.66 ps
BUFF-n722: 257.23 ps
NOT-n725: 213.62 ps
BUFF-n728: 214.95 ps
AND-n731: 213.62 ps
AND-n746: 244.24 ps
AND-n756: 214.95 ps
AND-n770: 262.55 ps
NAND-n776: 120.47 ps
NAND-n780: 127.52 ps
NAND-n784: 127.52 ps
NAND-n788: 134.85 ps
NAND-n792: 96.47 ps
NAND-n796: 96.47 ps
NAND-n800: 96.47 ps
NAND-n804: 96.47 ps
NAND-n808: 96.47 ps
NAND-n812: 104.65 ps
NAND-n816: 112.61 ps
NAND-n820: 112.61 ps
NAND-n824: 112.61 ps
NAND-n828: 112.61 ps
NAND-n832: 104.65 ps
NAND-n836: 104.65 ps
NAND-n853: 880.83 ps
NAND-n856: 880.83 ps
NAND-n857: 238.93 ps
NOT-n859: 921.80 ps
NAND-n860: 238.93 ps
NOT-n862: 921.80 ps
AND-n863: 96.47 ps
AND-n865: 96.47 ps
NAND-n867: 436.13 ps
NAND-n871: 199.46 ps
NAND-n873: 213.42 ps
NAND-n875: 199.46 ps
NAND-n877: 199.46 ps
NAND-n879: 199.46 ps
NAND-n881: 199.46 ps
NAND-n883: 213.31 ps
NAND-n885: 199.46 ps
AND-n886: 199.46 ps
AND-n887: 152.18 ps
NAND-n893: 474.85 ps
INP-n898: 516.84 ps
INP-n900: 516.84 ps
INP-n902: 408.23 ps
NOT-n907: 516.84 ps
NOT-n909: 516.84 ps
BUFF-n911: 868.44 ps
NOT-n918: 408.38 ps
BUFF-n919: 506.46 ps
NOT-n922: 408.23 ps
BUFF-n926: 523.10 ps
NOT-n930: 970.48 ps
NOT-n932: 939.83 ps
BUFF-n934: 953.76 ps
NOT-n938: 217.43 ps
BUFF-n943: 491.70 ps
BUFF-n947: 960.40 ps
NOT-n949: 526.59 ps
INP-n952: 523.10 ps
INP-n953: 217.43 ps
NAND-n954: 413.97 ps
NAND-n955: 408.23 ps
NAND-n956: 474.85 ps
NAND-n958: 474.85 ps
NAND-n967: 474.85 ps
NAND-n969: 474.85 ps
NAND-n978: 492.21 ps
AND-n979: 624.10 ps
BUFF-n980: 174.59 ps
NAND-n983: 133.30 ps
NAND-n984: 144.47 ps
NAND-n985: 133.30 ps
NOT-n988: 174.59 ps
NOT-n989: 133.30 ps
BUFF-n990: 142.77 ps
NAND-n993: 101.48 ps
NAND-n994: 112.64 ps
NAND-n995: 101.48 ps
NOT-n998: 142.77 ps
NOT-n999: 101.48 ps
BUFF-n1000: 206.47 ps
NAND-n1003: 112.64 ps
NAND-n1004: 101.48 ps
NAND-n1005: 101.48 ps
NOT-n1008: 206.47 ps
NOT-n1009: 101.48 ps
BUFF-n1010: 757.99 ps
NAND-n1013: 664.16 ps
NAND-n1014: 652.99 ps
NAND-n1015: 652.99 ps
NOT-n1018: 757.99 ps
NOT-n1019: 652.99 ps
AND-n1020: 141.41 ps
NAND-n1023: 642.48 ps
NAND-n1024: 653.65 ps
NAND-n1025: 642.48 ps
NOT-n1028: 141.41 ps
NOT-n1029: 642.48 ps
BUFF-n1030: 157.57 ps
NAND-n1033: 112.99 ps
NAND-n1034: 124.16 ps
NAND-n1035: 112.99 ps
NOT-n1038: 157.57 ps
NOT-n1039: 112.99 ps
BUFF-n1040: 220.89 ps
NAND-n1043: 176.31 ps
NAND-n1044: 187.48 ps
NAND-n1045: 176.31 ps
NOT-n1048: 220.89 ps
NOT-n1049: 176.31 ps
BUFF-n1050: 206.47 ps
BUFF-n1053: 209.74 ps
NOT-n1056: 206.47 ps
NOT-n1057: 209.74 ps
BUFF-n1058: 159.52 ps
NAND-n1061: 114.95 ps
NAND-n1062: 126.11 ps
NAND-n1063: 114.95 ps
NOT-n1066: 159.52 ps
NOT-n1067: 114.95 ps
BUFF-n1068: 141.06 ps
NAND-n1071: 96.47 ps
NAND-n1072: 107.64 ps
NAND-n1073: 96.47 ps
NOT-n1076: 141.06 ps
NOT-n1077: 96.47 ps
BUFF-n1078: 811.23 ps
NAND-n1081: 680.53 ps
NAND-n1082: 669.36 ps
NAND-n1083: 669.36 ps
NOT-n1086: 811.23 ps
NOT-n1087: 669.36 ps
NAND-n1088: 680.55 ps
NAND-n1089: 669.36 ps
BUFF-n1090: 258.68 ps
NAND-n1093: 127.97 ps
NAND-n1094: 116.80 ps
NAND-n1095: 116.80 ps
NOT-n1098: 258.68 ps
NOT-n1099: 116.80 ps
BUFF-n1100: 730.97 ps
NAND-n1103: 686.39 ps
NAND-n1104: 697.56 ps
NAND-n1105: 686.39 ps
NOT-n1108: 730.97 ps
NOT-n1109: 686.39 ps
NAND-n1110: 697.58 ps
NAND-n1111: 686.39 ps
BUFF-n1112: 172.80 ps
NAND-n1115: 128.21 ps
NAND-n1116: 139.38 ps
NAND-n1117: 128.21 ps
NOT-n1120: 172.80 ps
NOT-n1121: 128.21 ps
BUFF-n1122: 683.64 ps
NAND-n1125: 639.03 ps
NAND-n1126: 650.20 ps
NAND-n1127: 639.03 ps
NOT-n1130: 683.64 ps
NOT-n1131: 639.03 ps
NAND-n1132: 650.22 ps
NAND-n1133: 639.03 ps
BUFF-n1134: 141.09 ps
NAND-n1137: 96.47 ps
NAND-n1138: 107.64 ps
NAND-n1139: 96.47 ps
NOT-n1142: 141.09 ps
NOT-n1143: 96.47 ps
AND-n1144: 141.41 ps
NAND-n1147: 639.03 ps
NAND-n1148: 650.22 ps
NAND-n1149: 639.03 ps
NOT-n1152: 141.41 ps
NOT-n1153: 639.03 ps
BUFF-n1154: 280.24 ps
NAND-n1157: 253.35 ps
NAND-n1158: 264.52 ps
NAND-n1159: 253.35 ps
NOT-n1162: 280.24 ps
NOT-n1163: 253.35 ps
NAND-n1164: 264.53 ps
NAND-n1165: 253.35 ps
BUFF-n1166: 799.58 ps
NAND-n1169: 772.68 ps
NAND-n1170: 783.85 ps
NAND-n1171: 772.68 ps
NOT-n1174: 799.58 ps
NOT-n1175: 772.68 ps
BUFF-n1176: 780.10 ps
BUFF-n1179: 783.37 ps
NOT-n1182: 780.10 ps
NOT-n1183: 783.37 ps
NOT-n1184: 780.10 ps
NAND-n1187: 660.87 ps
NAND-n1188: 649.70 ps
NAND-n1189: 649.70 ps
NOT-n1192: 780.10 ps
NOT-n1193: 649.70 ps
BUFF-n1194: 856.81 ps
BUFF-n1197: 896.26 ps
NOT-n1200: 856.81 ps
NOT-n1201: 896.26 ps
NAND-n1202: 856.81 ps
NAND-n1203: 867.98 ps
BUFF-n1204: 278.98 ps
BUFF-n1207: 318.44 ps
NOT-n1210: 278.98 ps
NOT-n1211: 318.44 ps
NAND-n1212: 856.81 ps
NAND-n1215: 96.47 ps
NAND-n1216: 107.66 ps
NAND-n1217: 96.47 ps
NOT-n1220: 856.81 ps
NOT-n1221: 96.47 ps
BUFF-n1222: 328.10 ps
NAND-n1225: 283.53 ps
NAND-n1226: 280.25 ps
NAND-n1227: 280.25 ps
NOT-n1230: 328.10 ps
NOT-n1231: 280.25 ps
NAND-n1232: 291.44 ps
NAND-n1233: 280.25 ps
NAND-n1234: 280.25 ps
NAND-n1237: 217.43 ps
NAND-n1238: 213.62 ps
NAND-n1239: 213.62 ps
NOT-n1242: 280.25 ps
NOT-n1243: 213.62 ps
BUFF-n1244: 283.51 ps
NAND-n1247: 217.43 ps
NAND-n1248: 228.61 ps
NAND-n1249: 217.43 ps
NOT-n1252: 283.51 ps
NOT-n1253: 217.43 ps
NAND-n1254: 228.61 ps
NAND-n1255: 217.43 ps
BUFF-n1256: 258.19 ps
NAND-n1259: 213.62 ps
NAND-n1260: 224.79 ps
NAND-n1261: 213.62 ps
NOT-n1264: 258.19 ps
NOT-n1265: 213.62 ps
NAND-n1266: 224.81 ps
NAND-n1267: 213.62 ps
BUFF-n1268: 255.49 ps
NAND-n1271: 210.90 ps
NAND-n1272: 222.07 ps
NAND-n1273: 210.90 ps
NOT-n1276: 255.49 ps
NOT-n1277: 210.90 ps
BUFF-n1278: 280.23 ps
NAND-n1281: 238.93 ps
NAND-n1282: 235.66 ps
NAND-n1283: 235.66 ps
NOT-n1286: 280.23 ps
NOT-n1287: 235.66 ps
NAND-n1288: 246.84 ps
NAND-n1289: 235.66 ps
AND-n1290: 351.91 ps
NAND-n1293: 235.66 ps
NAND-n1294: 235.66 ps
NAND-n1295: 235.66 ps
NOT-n1298: 351.91 ps
NOT-n1299: 235.66 ps
BUFF-n1300: 283.51 ps
NAND-n1303: 235.66 ps
NAND-n1304: 235.66 ps
NAND-n1305: 235.66 ps
NOT-n1308: 283.51 ps
NOT-n1309: 235.66 ps
NAND-n1310: 246.84 ps
NAND-n1311: 235.66 ps
BUFF-n1312: 273.99 ps
NAND-n1315: 232.68 ps
NAND-n1316: 232.68 ps
NAND-n1317: 232.68 ps
NOT-n1320: 273.99 ps
NOT-n1321: 232.68 ps
NOT-n1322: 304.22 ps
NAND-n1325: 222.07 ps
NAND-n1326: 210.90 ps
NAND-n1327: 210.90 ps
NOT-n1330: 304.22 ps
NOT-n1331: 210.90 ps
BUFF-n1332: 322.08 ps
AND-n1335: 304.22 ps
NOT-n1338: 322.08 ps
NOT-n1339: 304.22 ps
BUFF-n1340: 708.88 ps
NAND-n1343: 647.53 ps
NAND-n1344: 658.69 ps
NAND-n1345: 647.53 ps
NOT-n1348: 708.88 ps
NOT-n1349: 647.53 ps
NAND-n1350: 658.71 ps
NAND-n1351: 647.53 ps
BUFF-n1352: 176.31 ps
NAND-n1355: 114.95 ps
NAND-n1356: 126.11 ps
NAND-n1357: 114.95 ps
NOT-n1360: 176.31 ps
NOT-n1361: 114.95 ps
BUFF-n1362: 101.48 ps
NOT-n1365: 116.80 ps
NOT-n1368: 101.48 ps
NOT-n1369: 116.80 ps
NOT-n1370: 96.47 ps
NAND-n1373: 253.35 ps
NOT-n1376: 96.47 ps
NOT-n1377: 253.35 ps
NOT-n1378: 114.95 ps
NOT-n1381: 278.98 ps
NOT-n1384: 114.95 ps
NOT-n1385: 278.98 ps
AND-n1386: 141.41 ps
BUFF-n1389: 715.69 ps
NOT-n1392: 141.41 ps
NOT-n1393: 715.69 ps
AND-n1394: 141.41 ps
BUFF-n1397: 737.73 ps
NOT-n1400: 141.41 ps
NOT-n1401: 737.73 ps
AND-n1402: 141.41 ps
BUFF-n1405: 704.15 ps
NOT-n1408: 141.41 ps
NOT-n1409: 704.15 ps
BUFF-n1410: 408.23 ps
BUFF-n1413: 101.48 ps
NOT-n1416: 408.23 ps
NOT-n1417: 101.48 ps
BUFF-n1418: 746.34 ps
BUFF-n1421: 439.58 ps
NOT-n1424: 746.34 ps
NOT-n1425: 439.58 ps
BUFF-n1426: 413.97 ps
BUFF-n1429: 210.90 ps
NOT-n1432: 413.97 ps
NOT-n1433: 210.90 ps
BUFF-n1434: 736.20 ps
BUFF-n1437: 533.13 ps
NOT-n1440: 736.20 ps
NOT-n1441: 533.13 ps
BUFF-n1442: 449.02 ps
BUFF-n1445: 96.47 ps
NOT-n1448: 449.02 ps
NOT-n1449: 96.47 ps
BUFF-n1450: 788.68 ps
BUFF-n1453: 436.13 ps
NOT-n1456: 788.68 ps
NOT-n1457: 436.13 ps
BUFF-n1458: 458.96 ps
BUFF-n1461: 114.95 ps
NOT-n1464: 458.96 ps
NOT-n1465: 114.95 ps
BUFF-n1466: 788.68 ps
BUFF-n1469: 444.67 ps
NOT-n1472: 788.68 ps
NOT-n1473: 444.67 ps
BUFF-n1474: 457.63 ps
BUFF-n1477: 213.62 ps
NOT-n1480: 457.63 ps
NOT-n1481: 213.62 ps
BUFF-n1482: 788.68 ps
BUFF-n1485: 544.67 ps
NOT-n1488: 788.68 ps
NOT-n1489: 544.67 ps
BUFF-n1490: 457.63 ps
BUFF-n1493: 235.66 ps
NOT-n1496: 457.63 ps
NOT-n1497: 235.66 ps
BUFF-n1498: 788.68 ps
BUFF-n1501: 566.70 ps
NOT-n1504: 788.68 ps
NOT-n1505: 566.70 ps
BUFF-n1506: 983.56 ps
AND-n1509: 398.55 ps
NOT-n1512: 983.56 ps
NOT-n1513: 398.55 ps
BUFF-n1514: 983.62 ps
AND-n1517: 406.24 ps
NOT-n1520: 983.62 ps
NOT-n1521: 406.24 ps
BUFF-n1522: 983.62 ps
AND-n1525: 406.24 ps
NOT-n1528: 983.62 ps
NOT-n1529: 406.24 ps
BUFF-n1530: 983.62 ps
AND-n1533: 406.24 ps
NOT-n1536: 983.62 ps
NOT-n1537: 406.24 ps
BUFF-n1538: 983.48 ps
AND-n1541: 381.58 ps
NOT-n1544: 983.48 ps
NOT-n1545: 381.58 ps
BUFF-n1546: 983.48 ps
AND-n1549: 381.58 ps
NOT-n1552: 983.48 ps
NOT-n1553: 381.58 ps
BUFF-n1554: 983.48 ps
AND-n1557: 381.58 ps
NOT-n1560: 983.48 ps
NOT-n1561: 381.58 ps
BUFF-n1562: 983.48 ps
AND-n1565: 381.58 ps
NOT-n1568: 983.48 ps
NOT-n1569: 381.58 ps
BUFF-n1570: 983.48 ps
AND-n1573: 381.58 ps
NOT-n1576: 983.48 ps
NOT-n1577: 381.58 ps
BUFF-n1578: 983.53 ps
AND-n1581: 385.72 ps
NOT-n1584: 983.53 ps
NOT-n1585: 385.72 ps
BUFF-n1586: 983.57 ps
AND-n1589: 390.42 ps
NOT-n1592: 983.57 ps
NOT-n1593: 390.42 ps
BUFF-n1594: 983.57 ps
AND-n1597: 390.42 ps
NOT-n1600: 983.57 ps
NOT-n1601: 390.42 ps
BUFF-n1602: 983.57 ps
AND-n1605: 390.42 ps
NOT-n1608: 983.57 ps
NOT-n1609: 390.42 ps
BUFF-n1610: 983.57 ps
AND-n1613: 390.42 ps
NOT-n1616: 983.57 ps
NOT-n1617: 390.42 ps
BUFF-n1618: 983.53 ps
AND-n1621: 385.72 ps
NOT-n1624: 983.53 ps
NOT-n1625: 385.72 ps
BUFF-n1626: 983.53 ps
AND-n1629: 385.72 ps
NOT-n1632: 983.53 ps
NOT-n1633: 385.72 ps
AND-n1634: 953.76 ps
NAND-n1637: 250.13 ps
NAND-n1638: 238.93 ps
NAND-n1639: 238.93 ps
NOT-n1642: 953.76 ps
NOT-n1643: 238.93 ps
AND-n1644: 953.76 ps
NAND-n1647: 250.13 ps
NAND-n1648: 238.93 ps
NAND-n1649: 238.93 ps
NOT-n1652: 953.76 ps
NOT-n1653: 238.93 ps
BUFF-n1654: 133.30 ps
BUFF-n1657: 151.78 ps
NOT-n1660: 133.30 ps
NOT-n1661: 151.78 ps
BUFF-n1662: 101.48 ps
BUFF-n1665: 119.95 ps
NOT-n1668: 101.48 ps
NOT-n1669: 119.95 ps
BUFF-n1670: 112.99 ps
BUFF-n1673: 101.48 ps
NOT-n1676: 112.99 ps
NOT-n1677: 101.48 ps
BUFF-n1678: 664.51 ps
BUFF-n1681: 652.99 ps
NOT-n1684: 664.51 ps
NOT-n1685: 652.99 ps
BUFF-n1686: 642.48 ps
NAND-n1689: 669.36 ps
NOT-n1692: 642.48 ps
NOT-n1693: 669.36 ps
BUFF-n1694: 112.99 ps
BUFF-n1697: 131.47 ps
NOT-n1700: 112.99 ps
NOT-n1701: 131.47 ps
BUFF-n1702: 176.31 ps
BUFF-n1705: 194.79 ps
NOT-n1708: 176.31 ps
NOT-n1709: 194.79 ps
BUFF-n1710: 114.95 ps
BUFF-n1713: 136.71 ps
NOT-n1716: 114.95 ps
NOT-n1717: 136.71 ps
BUFF-n1718: 96.47 ps
BUFF-n1721: 118.24 ps
NOT-n1724: 96.47 ps
NOT-n1725: 118.24 ps
BUFF-n1726: 780.79 ps
BUFF-n1729: 669.36 ps
NOT-n1732: 780.79 ps
NOT-n1733: 669.36 ps
BUFF-n1734: 228.23 ps
BUFF-n1737: 116.80 ps
NOT-n1740: 228.23 ps
NOT-n1741: 116.80 ps
BUFF-n1742: 686.39 ps
BUFF-n1745: 704.87 ps
NOT-n1748: 686.39 ps
NOT-n1749: 704.87 ps
BUFF-n1750: 128.21 ps
BUFF-n1753: 146.69 ps
NOT-n1756: 128.21 ps
NOT-n1757: 146.69 ps
BUFF-n1758: 639.03 ps
BUFF-n1761: 675.86 ps
NOT-n1764: 639.03 ps
NOT-n1765: 675.86 ps
BUFF-n1766: 96.47 ps
BUFF-n1769: 133.30 ps
NOT-n1772: 96.47 ps
NOT-n1773: 133.30 ps
NAND-n1774: 639.03 ps
NOT-n1777: 772.68 ps
NOT-n1780: 639.03 ps
NOT-n1781: 772.68 ps
BUFF-n1782: 253.35 ps
BUFF-n1785: 271.84 ps
NOT-n1788: 253.35 ps
NOT-n1789: 271.84 ps
BUFF-n1790: 772.68 ps
BUFF-n1793: 791.18 ps
NOT-n1796: 772.68 ps
NOT-n1797: 791.18 ps
NAND-n1798: 686.39 ps
BUFF-n1801: 649.70 ps
NOT-n1804: 686.39 ps
NOT-n1805: 649.70 ps
AND-n1806: 96.47 ps
NAND-n1809: 647.53 ps
NOT-n1812: 96.47 ps
NOT-n1813: 647.53 ps
BUFF-n1814: 283.53 ps
BUFF-n1817: 280.25 ps
NOT-n1820: 283.53 ps
NOT-n1821: 280.25 ps
NAND-n1822: 217.43 ps
NAND-n1825: 213.62 ps
NOT-n1828: 217.43 ps
NOT-n1829: 213.62 ps
AND-n1830: 217.43 ps
BUFF-n1833: 235.28 ps
NOT-n1836: 217.43 ps
NOT-n1837: 235.28 ps
BUFF-n1838: 213.62 ps
BUFF-n1841: 232.11 ps
NOT-n1844: 213.62 ps
NOT-n1845: 232.11 ps
BUFF-n1846: 210.90 ps
BUFF-n1849: 229.40 ps
NOT-n1852: 210.90 ps
NOT-n1853: 229.40 ps
BUFF-n1854: 238.93 ps
BUFF-n1857: 235.66 ps
NOT-n1860: 238.93 ps
NOT-n1861: 235.66 ps
NAND-n1862: 235.66 ps
NAND-n1865: 235.66 ps
NOT-n1868: 235.66 ps
NOT-n1869: 235.66 ps
BUFF-n1870: 235.66 ps
BUFF-n1873: 235.66 ps
NOT-n1876: 235.66 ps
NOT-n1877: 235.66 ps
BUFF-n1878: 232.68 ps
BUFF-n1881: 232.68 ps
NOT-n1884: 232.68 ps
NOT-n1885: 232.68 ps
NOT-n1886: 232.68 ps
NOT-n1889: 210.90 ps
NOT-n1892: 232.68 ps
NOT-n1893: 210.90 ps
